用户名,推荐,游戏时长,评论,政治敏感,评论长度,情感得分
芝士奶盖绿茶o.O,Recommended,6.6,"
					对于哈迷来说最棒的游戏",0,17,0.9965741021663008
杂乱无章,Recommended,2.2,"
					好玩",0,8,0.7894736842105263
魔法少女爱莉希雅♪,Not Recommended,24.3,"
					首发预购抢先体验豪华包的，当时直接跑了24个小时，然而游戏正式上线后几乎一点没动，只能说玩多了一个是真的很无聊，另一个是……沟槽的ZZZQ跟傻逼一样缠着你，倪哥还在当奴隶的时候上来跟你一块学魔法已经够难绷的了，男人声女人像是什么玩意儿？逆天还要放到任务上跳你的脸，只能说……非哈迷不要入",1,149,0.0317394569083036
TQB,Recommended,6.4,"
					哈迷真的很爱，秋促价格很不错！随便在霍格沃兹逛一逛都很开心！",0,36,0.9999293575804259
漆原琉华,Recommended,29.1,"
					优化太烂",0,10,0.06124362924648419
dwr.tony,Not Recommended,35.5,"
					先说结论：此游戏只推荐想要感受一下哈利波特IP世界的铁粉。游戏内的战斗和剧情体验真是挺烂的，尤其是最终的BOSS战，毫无设计感可言，完全就是QTE的雷同感；其次任务系统也很无聊，除了蛇院小哥的支线剧情因为想要不可饶恕咒有动力做做以外，其他支线真是完全提不起兴趣",0,136,0.9998716904046753
LinLauren,Recommended,25.1,"
					好玩",0,8,0.7894736842105263
Nothing,Recommended,25.0,"
					好",0,7,0.6558628208940429
鑫辰昨夜,Recommended,18.8,"
					战斗爽",0,9,0.8636363636363636
ylc1226,Recommended,14.1,"
					哈迷必入",0,10,0.7297953905324703
